timepoints,x_1,x_5,x_2,x_3,x_4,x_6,x_vcc,x_vin
76300.562500,0.709543,1.500000,0.672360,5.308084,0.065636,10.000000,-0.009337,-0.002143
77324.562500,0.709544,1.500000,0.672360,5.355642,0.066295,10.000000,-0.009290,-0.002143
79372.562500,0.709546,1.500000,0.672360,5.448849,0.067609,10.000000,-0.009196,-0.002143
79884.562500,0.709546,1.500000,0.672361,5.472033,0.067938,10.000000,-0.009173,-0.002143
80908.562500,0.709547,1.500000,0.672361,5.517929,0.068594,10.000000,-0.009127,-0.002143
82956.562500,0.709548,1.500000,0.672361,5.607880,0.069904,10.000000,-0.009037,-0.002142
83468.562500,0.709549,1.500000,0.672361,5.630253,0.070232,10.000000,-0.009015,-0.002142
84492.562500,0.709549,1.500000,0.672361,5.674545,0.070886,10.000000,-0.008971,-0.002142
86540.562500,0.709551,1.500000,0.672362,5.761353,0.072191,10.000000,-0.008884,-0.002142
87052.562500,0.709551,1.500000,0.672362,5.782944,0.072517,10.000000,-0.008862,-0.002142
88076.562500,0.709552,1.500000,0.672362,5.825689,0.073169,10.000000,-0.008820,-0.002142
90124.562500,0.709554,1.500000,0.672362,5.909463,0.074469,10.000000,-0.008736,-0.002142
90636.562500,0.709554,1.500000,0.672362,5.930300,0.074794,10.000000,-0.008715,-0.002142
91660.562500,0.709555,1.500000,0.672363,5.971552,0.075444,10.000000,-0.008674,-0.002142
93708.562500,0.709557,1.500000,0.672363,6.052398,0.076740,10.000000,-0.008593,-0.002142
94220.562500,0.709557,1.500000,0.672363,6.072507,0.077064,10.000000,-0.008573,-0.002142
95244.562500,0.709558,1.500000,0.672363,6.112317,0.077711,10.000000,-0.008533,-0.002142
97292.562500,0.709559,1.500000,0.672364,6.190339,0.079002,10.000000,-0.008455,-0.002142
97804.562500,0.709560,1.500000,0.672364,6.209745,0.079325,10.000000,-0.008435,-0.002142
98828.562500,0.709560,1.500000,0.672364,6.248164,0.079969,10.000000,-0.008397,-0.002141
100876.562500,0.709562,1.500000,0.672364,6.323459,0.081256,10.000000,-0.008322,-0.002141
101388.562500,0.709562,1.500000,0.672364,6.342187,0.081578,10.000000,-0.008303,-0.002141
102412.562500,0.709563,1.500000,0.672364,6.379264,0.082220,10.000000,-0.008266,-0.002141
104460.562500,0.709565,1.500000,0.672365,6.451928,0.083502,10.000000,-0.008193,-0.002141
104972.562500,0.709565,1.500000,0.672365,6.470002,0.083823,10.000000,-0.008175,-0.002141
105996.562500,0.709566,1.500000,0.672365,6.505783,0.084463,10.000000,-0.008139,-0.002141
108044.562500,0.709567,1.500000,0.672365,6.575908,0.085740,10.000000,-0.008069,-0.002141
108556.562500,0.709568,1.500000,0.672365,6.593350,0.086059,10.000000,-0.008052,-0.002141
109580.562500,0.709568,1.500000,0.672366,6.627881,0.086697,10.000000,-0.008017,-0.002141
111628.562500,0.709570,1.500000,0.672366,6.695556,0.087970,10.000000,-0.007950,-0.002141
112140.562500,0.709570,1.500000,0.672366,6.712388,0.088288,10.000000,-0.007933,-0.002141
113164.562500,0.709571,1.500000,0.672366,6.745712,0.088924,10.000000,-0.007900,-0.002141
115212.562500,0.709573,1.500000,0.672367,6.811022,0.090192,10.000000,-0.007834,-0.002140
115724.562500,0.709573,1.500000,0.672367,6.827267,0.090509,10.000000,-0.007818,-0.002140
116748.562500,0.709574,1.500000,0.672367,6.859426,0.091143,10.000000,-0.007786,-0.002140
118796.562500,0.709575,1.500000,0.672367,6.922454,0.092407,10.000000,-0.007723,-0.002140
119308.562500,0.709576,1.500000,0.672367,6.938131,0.092723,10.000000,-0.007707,-0.002140
120332.562500,0.709576,1.500000,0.672367,6.969167,0.093354,10.000000,-0.007676,-0.002140
122380.562500,0.709578,1.500000,0.672368,7.029993,0.094613,10.000000,-0.007615,-0.002140
122892.562500,0.709578,1.500000,0.672368,7.045122,0.094928,10.000000,-0.007600,-0.002140
123916.562500,0.709579,1.500000,0.672368,7.075073,0.095556,10.000000,-0.007570,-0.002140
125964.562500,0.709581,1.500000,0.672368,7.133773,0.096811,10.000000,-0.007511,-0.002140
126476.562500,0.709581,1.500000,0.672369,7.148373,0.097125,10.000000,-0.007497,-0.002140
127500.562500,0.709582,1.500000,0.672369,7.177278,0.097751,10.000000,-0.007468,-0.002140
129548.562500,0.709583,1.500000,0.672369,7.233927,0.099002,10.000000,-0.007411,-0.002140
130060.562500,0.709584,1.500000,0.672369,7.248017,0.099314,10.000000,-0.007397,-0.002140
131084.562500,0.709584,1.500000,0.672369,7.275912,0.099939,10.000000,-0.007369,-0.002140
133132.562500,0.709586,1.500000,0.672370,7.330582,0.101185,10.000000,-0.007315,-0.002139
133644.562500,0.709586,1.500000,0.672370,7.344180,0.101496,10.000000,-0.007301,-0.002139
134668.562500,0.709587,1.500000,0.672370,7.371100,0.102118,10.000000,-0.007274,-0.002139
136716.562500,0.709589,1.500000,0.672370,7.423859,0.103360,10.000000,-0.007221,-0.002139
137228.562500,0.709589,1.500000,0.672370,7.436982,0.103670,10.000000,-0.007208,-0.002139
138252.562500,0.709590,1.500000,0.672370,7.462961,0.104290,10.000000,-0.007182,-0.002139
140300.562500,0.709591,1.500000,0.672371,7.513877,0.105527,10.000000,-0.007131,-0.002139
140812.562500,0.709592,1.500000,0.672371,7.526541,0.105836,10.000000,-0.007119,-0.002139
141836.562500,0.709592,1.500000,0.672371,7.551612,0.106454,10.000000,-0.007094,-0.002139
143884.562500,0.709594,1.500000,0.672371,7.600749,0.107686,10.000000,-0.007044,-0.002139
144396.562500,0.709594,1.500000,0.672371,7.612971,0.107994,10.000000,-0.007032,-0.002139
145420.562500,0.709595,1.500000,0.672372,7.637166,0.108610,10.000000,-0.007008,-0.002139
147468.562500,0.709596,1.500000,0.672372,7.684586,0.109838,10.000000,-0.006961,-0.002139
147980.562500,0.709597,1.500000,0.672372,7.696380,0.110145,10.000000,-0.006949,-0.002139
149004.562500,0.709597,1.500000,0.672372,7.719730,0.110758,10.000000,-0.006925,-0.002138
151052.562500,0.709599,1.500000,0.672373,7.765493,0.111982,10.000000,-0.006880,-0.002138
151564.562500,0.709599,1.500000,0.672373,7.776875,0.112288,10.000000,-0.006868,-0.002138
152588.562500,0.709600,1.500000,0.672373,7.799409,0.112899,10.000000,-0.006846,-0.002138
154636.562500,0.709601,1.500000,0.672373,7.843573,0.114118,10.000000,-0.006802,-0.002138
155148.562500,0.709602,1.500000,0.672373,7.854558,0.114423,10.000000,-0.006791,-0.002138
156172.562500,0.709603,1.500000,0.672373,7.876304,0.115032,10.000000,-0.006769,-0.002138
158220.562500,0.709604,1.500000,0.672374,7.918925,0.116247,10.000000,-0.006726,-0.002138
158732.562500,0.709604,1.500000,0.672374,7.929525,0.116551,10.000000,-0.006716,-0.002138
159756.562500,0.709605,1.500000,0.672374,7.950512,0.117158,10.000000,-0.006695,-0.002138
161804.562500,0.709607,1.500000,0.672374,7.991643,0.118368,10.000000,-0.006654,-0.002138
162316.562500,0.709607,1.500000,0.672374,8.001874,0.118671,10.000000,-0.006643,-0.002138
163340.562500,0.709608,1.500000,0.672375,8.022127,0.119275,10.000000,-0.006623,-0.002138
165388.562500,0.709609,1.500000,0.672375,8.061821,0.120482,10.000000,-0.006583,-0.002138
165900.562500,0.709610,1.500000,0.672375,8.071694,0.120783,10.000000,-0.006574,-0.002138
166924.562500,0.709610,1.500000,0.672375,8.091240,0.121386,10.000000,-0.006554,-0.002137
168972.562500,0.709612,1.500000,0.672375,8.129547,0.122588,10.000000,-0.006516,-0.002137
169484.562500,0.709612,1.500000,0.672376,8.139075,0.122888,10.000000,-0.006506,-0.002137
170508.562500,0.709613,1.500000,0.672376,8.157937,0.123489,10.000000,-0.006487,-0.002137
172556.562500,0.709614,1.500000,0.672376,8.194906,0.124687,10.000000,-0.006450,-0.002137
173068.562500,0.709615,1.500000,0.672376,8.204101,0.124986,10.000000,-0.006441,-0.002137
